材料名,部材名,仕上げ長さ,仕上げ幅,仕上げ厚,数量,0,0,木目,0,0,0,0,縁張り1,縁張り3,縁張り4,縁張り2,BARCODE,表面材,裏面材,品目名,オーダー名,,,材料名,仕上げ総寸法,カット長さ,カット幅,RTHK,NC_PROGRAM_1,IDENT_INFO1,NC_PROGRAM_2,IDENT_INFO2,案件名,製品名,設置場所,日付,INFO5,INFO6,INFO7,INFO8,INFO9,INFO10,裏面材名,表面材名,画像パス
幕板_前,shina_ranba_t18,730,202,19,1,0,0,1,0,0,0,0,1mm,1mm,1mm,1mm,1001,meramin_mokume,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,011:010:010:000,,シナランバー/18mm,730.0 x 202.0 x 19.0,729,201,18,1001,1,,,,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16385.w
地板,shina_ranba_t24,734,609.5,25,1,0,0,1,0,0,0,0,1mm, , , ,1002,meramin_mokume,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/24mm,734.0 x 609.5 x 25.0,734,609,24,1002,,,,,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16386.wm
右側板,shina_ranba_t18,798,587.5,19,1,0,0,1,0,0,0,0,1mm, , , ,1003,meramin_mokume,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/18mm,798.0 x 587.5 x 19.0,798,587,18,1003,,,,,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16387.w
左側板,shina_ranba_t18,798,587.5,19,1,0,0,1,0,0,0,0,1mm, , , ,1004,,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/18mm,798.0 x 587.5 x 19.0,798,587,18,1004,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16388.w
固定棚,shina_ranba_t18,696,254,19,1,0,0,1,0,0,0,0, , ,dabo,dabo,1006,,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,::000:000,,シナランバー/18mm,696.0 x 254.0 x 19.0,696,254,18,1006,1,,,18_254,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),No_Surface,w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16389.w
仕切板,shina_ranba_t18,582,275.5,20,1,0,0,0,0,0,0,0,1mm, ,dabo, ,1007,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,010::000:,,シナランバー/18mm,582.0 x 275.5 x 20.0,582,275,18,1007,1,2007,,18_275.5,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\B
扉,shina_ranba_t18,300,557,20,1,0,0,0,0,0,0,0,1mm,naneme_ue,1mm,1mm,1009,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,010:001:000:,,シナランバー/18mm,300.0 x 557.0 x 20.0,299,557,18,1009,,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BIT
可動棚,shina_ranba_t18,266,210,20,1,0,0,0,0,0,0,0,1mm, , , ,1065,meramin_mokume,meramin_mokume,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:::,,シナランバー/18mm,266.0 x 210.0 x 20.0,266,209.5,18,,1,,,,,,,,,,,,,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\B
幕板_前,shina_ranba_t18,275,582,19,1,0,0,1,0,0,0,0, , ,dabo,dabo,1066,meramin_mokume,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,000:000::,,シナランバー/18mm,275.0 x 582.0 x 19.0,275,582,18,1066,1,,,18_582,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16395.w
幕板_前,shina_ranba_t18,401,45,19,1,0,0,1,0,0,0,0,1mm,1mm,dabo,dabo,1036,meramin_mokume,,rusutu_left_sitadai,rusutu_mini_bar_suzuki_0720,011:010:010:000,,シナランバー/18mm,401.0 x 45.0 x 19.0,401,44,18,,1,,,18_45,,,,,,,,,,No_Surface,TJ-2002K/スムースアッシュ ダーク/1mm(エッジEBA27033G23),w:\Factory\rusutu_mini_bar_suzuki_0720\BITMAPS\16396.w
